City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Chambersburg,US,2022-24-09/19/22 15:24:20,39.9376,-77.6611,80.28,70,7,8.99
131,Tura,IN,2022-23-09/19/22 15:23:47,25.5198,90.2201,75.02,96,27,2.55
132,Tasiilaq,GL,2022-24-09/19/22 15:24:22,65.6145,-37.6368,44.76,96,100,3.74
133,Fortuna,US,2022-24-09/19/22 15:24:22,40.5982,-124.1573,55.92,92,36,1.01
134,Hovd,MN,2022-21-09/19/22 15:21:54,48.0056,91.6419,47.48,41,0,0.29
135,Parambu,BR,2022-24-09/19/22 15:24:24,-6.2111,-40.6944,92.61,23,85,8.52
136,Vallenar,CL,2022-24-09/19/22 15:24:25,-28.5708,-70.7581,68.72,24,0,4.81
137,Nizhniy Tsasuchey,RU,2022-24-09/19/22 15:24:25,50.5167,115.1333,47.7,45,100,6.08
138,Noumea,NC,2022-19-09/19/22 15:19:51,-22.2763,166.4572,66.18,84,0,7.09
139,Syracuse,IT,2022-25-09/19/22 15:25:26,37.0881,15.2792,89.19,55,30,12.86
140,Barrow,US,2022-21-09/19/22 15:21:07,71.2906,-156.7887,39.22,93,75,8.05
141,New Norfolk,AU,2022-25-09/19/22 15:25:27,-42.7826,147.0587,45.72,76,99,2.8
142,Bluff,NZ,2022-25-09/19/22 15:25:28,-46.6,168.3333,46.8,82,95,8.41
143,Walvis Bay,NA,2022-25-09/19/22 15:25:29,-22.9575,14.5053,68.95,45,0,20.71
144,Tuktoyaktuk,CA,2022-20-09/19/22 15:20:54,69.4541,-133.0374,41.0,87,75,9.22
145,Omagh,GB,2022-25-09/19/22 15:25:30,54.6,-7.3,62.01,65,97,3.51
146,Hithadhoo,MV,2022-21-09/19/22 15:21:16,-0.6,73.0833,82.54,74,84,9.48
147,Bela,IN,2022-24-09/19/22 15:24:48,25.9333,81.9833,84.09,71,21,4.88
148,Gorom-Gorom,BF,2022-25-09/19/22 15:25:32,14.4439,-0.2361,96.24,33,16,5.3
149,Ntungamo,UG,2022-25-09/19/22 15:25:32,-0.8833,29.65,69.73,89,98,1.81
150,Bethel,US,2022-20-09/19/22 15:20:40,41.3712,-73.414,81.55,66,0,6.91
151,Najran,SA,2022-22-09/19/22 15:22:52,17.4924,44.1277,93.85,14,72,12.44
152,Saint-Joseph,RE,2022-21-09/19/22 15:21:41,-21.3667,55.6167,71.98,76,45,12.8
153,Iaciara,BR,2022-25-09/19/22 15:25:34,-14.0958,-46.6317,91.18,32,29,8.03
154,Teya,RU,2022-25-09/19/22 15:25:35,60.3778,92.6267,45.46,96,100,10.45
155,Clinton,US,2022-25-09/19/22 15:25:35,42.587,-82.9199,78.94,75,20,6.91
156,Solnechnyy,RU,2022-25-09/19/22 15:25:36,50.7214,136.6319,36.93,87,100,1.63
157,Liberta,AG,2022-25-09/19/22 15:25:37,17.0333,-61.7833,85.08,71,40,10.36
158,Atuona,PF,2022-25-09/19/22 15:25:37,-9.8,-139.0333,76.06,77,34,20.02
159,Vanimo,PG,2022-25-09/19/22 15:25:37,-2.6741,141.3028,78.37,83,62,4.63
160,Esperance,AU,2022-25-09/19/22 15:25:38,-33.8667,121.9,53.44,80,59,18.63
161,Namatanai,PG,2022-25-09/19/22 15:25:39,-3.6667,152.4333,78.1,82,98,6.71
162,Tymovskoye,RU,2022-25-09/19/22 15:25:39,50.8456,142.655,48.65,86,100,3.76
163,Pontianak,ID,2022-25-09/19/22 15:25:40,-0.0333,109.3333,75.18,100,40,3.44
164,Barra,BR,2022-25-09/19/22 15:25:40,-11.0894,-43.1417,87.53,40,79,7.61
165,Sioux Lookout,CA,2022-23-09/19/22 15:23:42,50.1001,-91.917,57.27,100,75,2.3
166,Srednekolymsk,RU,2022-25-09/19/22 15:25:41,67.45,153.6833,39.42,54,97,8.16
167,Batagay-Alyta,RU,2022-25-09/19/22 15:25:43,67.8006,130.4114,23.79,60,13,4.45
168,Goderich,CA,2022-25-09/19/22 15:25:43,43.7501,-81.7165,70.92,88,40,12.66
169,Saint Anthony,US,2022-23-09/19/22 15:23:08,45.0205,-93.218,70.79,81,0,6.91
170,Kattivakkam,IN,2022-25-09/19/22 15:25:44,13.2167,80.3167,86.09,65,100,10.38
171,Ust-Nera,RU,2022-22-09/19/22 15:22:37,64.5667,143.2,33.66,91,98,4.23
172,Ambunti,PG,2022-25-09/19/22 15:25:46,-4.2365,142.8448,74.41,94,87,2.04
173,Kuryk,KZ,2022-25-09/19/22 15:25:46,43.2,51.65,81.81,28,0,7.16
174,Kamaishi,JP,2022-25-09/19/22 15:25:47,39.2667,141.8833,76.44,91,100,24.23
175,Luwuk,ID,2022-25-09/19/22 15:25:49,-0.9516,122.7875,77.09,89,40,4.12
